Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,30076,0,680,694.6361045049568,244.65704500107677,1986.7322170011903,83.33920734140179,666.9029622332686,0.0,680,700,740,740,760,770,780,820,1800,1900,2000
,Aggregated,30076,0,680,694.6361045049568,244.65704500107677,1986.7322170011903,83.33920734140179,666.9029622332686,0.0,680,700,740,740,760,770,780,820,1800,1900,2000
