Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,20632,0,2,2.0279570689143838,1.441176000298583,30.905249001079937,83.2559131446297,453.5009680634771,0.0,2,2,2,2,3,3,3,3,4,6,31
,Aggregated,20632,0,2,2.0279570689143838,1.441176000298583,30.905249001079937,83.2559131446297,453.5009680634771,0.0,2,2,2,2,3,3,3,3,4,6,31
