Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,34772,0,300,335.0236063039527,55.26933500004816,1992.1294519990624,83.3138157137927,558.2396085806454,0.0,300,390,400,410,420,450,490,510,1800,2000,2000
,Aggregated,34772,0,300,335.0236063039527,55.26933500004816,1992.1294519990624,83.3138157137927,558.2396085806454,0.0,300,390,400,410,420,450,490,510,1800,2000,2000
