Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782996944,200,,Aggregated,734.200000,0.000000,260,270,270,280,320,330,340,350,1300,1500,1600,21824,0,260,270.6480173034298,88.35876900047879,1573.9394960000936,83.31286656891496
1782996945,200,,Aggregated,742.400000,0.000000,260,270,270,280,320,330,340,350,1300,1500,1600,22514,0,260,270.73563839864266,88.35876900047879,1573.9394960000936,83.31233898907347
1782996946,200,,Aggregated,742.800000,0.000000,260,270,270,280,320,330,340,350,1300,1500,1600,23293,0,260,270.49777658404093,88.35876900047879,1573.9394960000936,83.31232559137939
1782996947,200,,Aggregated,745.800000,0.000000,260,270,270,280,320,330,340,350,1300,1500,1600,24012,0,260,270.6436795101227,88.35876900047879,1573.9394960000936,83.31309345327337
1782996948,200,,Aggregated,746.500000,0.000000,260,270,270,280,320,330,340,350,1300,1500,1600,24753,0,260,270.36186651553777,88.35876900047879,1573.9394960000936,83.31491132387994
1782996949,200,,Aggregated,747.800000,0.000000,260,270,270,280,320,330,340,350,1300,1500,1600,25469,0,260,270.64382087754035,88.35876900047879,1573.9394960000936,83.31658094153677
1782996950,200,,Aggregated,750.700000,0.000000,260,270,270,280,320,330,340,350,1300,1500,1600,26240,0,260,270.3749251935236,88.35876900047879,1573.9394960000936,83.31619664634147
1782996951,200,,Aggregated,752.500000,0.000000,260,270,270,280,320,330,340,350,1300,1500,1600,26937,0,260,270.24205508211963,88.35876900047879,1573.9394960000936,83.31428889631363
1782996952,200,,Aggregated,745.500000,0.000000,260,270,270,280,320,330,340,350,1200,1500,1600,27712,0,260,270.29224566303645,88.35876900047879,1573.9394960000936,83.31188654734412
1782996953,200,,Aggregated,749.200000,0.000000,260,270,270,280,320,330,340,350,1200,1500,1600,28420,0,260,270.0688189679821,88.35876900047879,1573.9394960000936,83.31171710063336
1782996954,200,,Aggregated,742.600000,0.000000,260,270,270,280,320,330,340,350,1200,1500,1600,29171,0,260,270.29840761856315,88.35876900047879,1573.9394960000936,83.31089095334407
