Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,4763,0,95,91.44943156078115,2.6484589998290176,289.6036410002125,83.27503674154944,104.63232690771599,0.0,95,100,100,110,180,190,200,200,280,290,290
,Aggregated,4763,0,95,91.44943156078115,2.6484589998290176,289.6036410002125,83.27503674154944,104.63232690771599,0.0,95,100,100,110,180,190,200,200,280,290,290
