Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,34009,0,59,61.503640001618294,8.490759999403963,555.7977859989478,83.27469199329589,746.3402304535734,0.0,59,63,66,68,74,80,120,130,300,550,560
,Aggregated,34009,0,59,61.503640001618294,8.490759999403963,555.7977859989478,83.27469199329589,746.3402304535734,0.0,59,63,66,68,74,80,120,130,300,550,560
